title,speaker,calling,calling_original,year,season,url
"gone, you feel light, the Spirit of the Lord is...",Rudger Clawson,Elder Rudger Clawson,Elder Rudger Clawson,1899,April,https://archive.org/details/conferencereport1899a
Pride and class distinctions displeasing to GodDuty of supporting the...,Rudger Clawson,Elder Rudger Clawson,Elder Rudger Clawson,1899,April,https://archive.org/details/conferencereport1899a
5 the Bishops of the Church well know that the...,Abraham O. Woodruff,Elder Abraham O. Woodruff,Elder Abraham O. Woodruff,1899,April,https://archive.org/details/conferencereport1899a
Value of inspired counsel— The Saints expanding by faith and...,Abraham O. Woodruff,Elder Abraham O. Woodruff,Elder Abraham O. Woodruff,1899,April,https://archive.org/details/conferencereport1899a
7 preaching this Gospel than there has ever been. This...,Abraham O. Woodruff,Elder Abraham O. Woodruff,Elder Abraham O. Woodruff,1899,April,https://archive.org/details/conferencereport1899a
Prophetic gift of Joseph Smith— Early manifestation of God and...,Matthias F. Cowley,Elder Matthias F. Cowley,Elder Matthias F. Cowley,1899,April,https://archive.org/details/conferencereport1899a
11 . 2 p. m. Singing by the choir: On...,Anthon H. Luad,Elder Anthon H. Luad,Elder Anthon H. Luad,1899,April,https://archive.org/details/conferencereport1899a
13 shape. We could retain a great deal of means...,Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1899,April,https://archive.org/details/conferencereport1899a
Expansiveness of the Latter-day Saints— Material Interests of the people—...,Marriner W. Merrill,Elder Marriner W. Merrill,Elder Marriner W. Merrill,1899,April,https://archive.org/details/conferencereport1899a
17 to what was revealed in his day. There are...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1899,April,https://archive.org/details/conferencereport1899a
The great and beneficent physical and spiritual effects brought to...,George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1899,April,https://archive.org/details/conferencereport1899a
"19 rich, no matter how learned, no matter how many...",George Q. Cannon,President George Q. Cannon,President George Q. Cannon,1899,April,https://archive.org/details/conferencereport1899a
21 time has not yet come for them to embrace...,Lorenzo Snow,President Lorenzo Snow,President Lorenzo Snow,1899,April,https://archive.org/details/conferencereport1899a
I am very much pleased to meet with the brethren...,Lorenzo Snow,President Lorenzo Snow,President Lorenzo Snow,1899,April,https://archive.org/details/conferencereport1899a
Restoration of the Gospel and the obligation to preach it—...,John W. Taylor,Elder John W. Taylor,Elder John W. Taylor,1899,April,https://archive.org/details/conferencereport1899a
"25 of the Gospel of Christ, for it is the...",John W. Tailor,Elder John W. Tailor,Elder John W. Tailor,1899,April,https://archive.org/details/conferencereport1899a
Nothing can be attempted against the work of God that...,Heber J. Grant,Elder Heber J. Grant,Elder Heber J. Grant,1899,April,https://archive.org/details/conferencereport1899a
27 would be made at a later meeting by myself...,Heber J. Grant,Elder Heber J. Grant,Elder Heber J. Grant,1899,April,https://archive.org/details/conferencereport1899a
"29 Christ and who sin against that knowledge, shall be...",George Teasdale,Elder George Teasdale,Elder George Teasdale,1899,April,https://archive.org/details/conferencereport1899a
Value of a well spent life — The Saints patriotic...,George Teasdale,Elder George Teasdale,Elder George Teasdale,1899,April,https://archive.org/details/conferencereport1899a
"31 Lorenzo Snow, was reviewed on the occasion I referred...",George Teasdale,Elder George Teasdale,Elder George Teasdale,1899,April,https://archive.org/details/conferencereport1899a
The Saints successful colonizers— Should seek to obtain the most...,John Henry Smith,Elder John Henry Smith,Elder John Henry Smith,1899,April,https://archive.org/details/conferencereport1899a
"35 uplifting and independence of the"" people of God. While...",John Henry Smith,Elder John Henry Smith,Elder John Henry Smith,1899,April,https://archive.org/details/conferencereport1899a
Comprehensiveness of the plan of Salvation— Faith the result of...,F. M. Lyman,Elder F. M. Lyman,Elder F. M. Lyman,1899,April,https://archive.org/details/conferencereport1899a
